	species	Day 	Air_temp	Water_temp	Salinity	NH4	Silicate	PO4	NO2_NO3	Tidal_height			
1	syn_1	205	27	17.5	34	NA	NA	NA	NA	2.856			
2	syn_1 	206	NA	NA	NA	NA	NA	NA	NA	2.605			
3	syn_1 	207	21	20	33	NA	NA	NA	NA	1.949			
4	syn_1 	208	26	17	34	NA	NA	NA	NA	1.594			
5	syn_1 	209	29	20	34	NA	NA	NA	NA	1.23			
6	syn_1 	210	23	15	34	NA	NA	NA	NA	1.118			
7	syn_1 	211	24	17	34	NA	NA	NA	NA	0.83			
8	syn_1 	212	23	17.5	34	NA	NA	NA	NA	0.609			
9	syn_1 	213	NA	19	33	NA	NA	NA	NA	0.46			
10	syn_1 	214	23.5	18.3	NA	0.857251761	2.337330274	0.069182486	0.625133203	0.52			
11	syn_1 	215	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609			
12	syn_1 	216	28.3	11	34	0.18212627	6.61638308	NA	1.21387498	1.016			
13	syn_1 	217	25.5	NA	NA	0.86768967	7.05001699	0.33053471	2.40520795	1.601			
14	syn_1 	218	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941			
15	syn_1 	219	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479			
16	syn_1 	220	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899			
17	syn_1 	221	26.5	12.8	34	NA	4.10791588	NA	NA	3.13			
18	syn_1 	222	25.5	13.8	NA	0.21565437	3.99431553	0.10142842	0.31993432	2.477			
19	syn_1 	223	20.8	15.8	NA	0.26956796	3.99431553	NA	1.42315613	2.153			
20	syn_1 	224	24.3	18	34	0.86120177	2.79666094	NA	0.90450944	1.375			
21	syn_1 	225	21.5	19.8	NA	0.663421426	2.891279198	0.106077048	0.346832485	1.36			
22	syn_1 	226	23	18.5	34	1.39859995	2.11237865	NA	0.63125864	0.302			
23	syn_1 	227	26.8	18	34	0.60610945	4.21971346	NA	NA	0.3			
24	syn_1 	228	21.5	17.8	34	0.13728068	4.57914812	NA	1.47610915	0.166			
25	syn_1 	229	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533			
26	syn_1 	230	21.5	16.5	34	0.52505727	3.45161568	NA	5.10852963	1.104			
27	syn_1 	231	25.5	18.8	34	0.14743555	2.76116774	NA	NA	1.851			
28	syn_1 	233	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456			
29	syn_1 	234	19.5	18.8	34	0.07227133	4.24216682	NA	7.36478308	2.813			
30	syn_1 	235	NA	NA	34	NA	3.02969798	NA	1.24992589	2.996			
31	syn_1 	236	17.8	NA	34	0.27492393	4.21989787	0.05520231	NA	2.847			
32	syn_1 	237	NA	NA	32	0.47109591	5.21808205	0.28624272	1.72108027	2.833			
33	syn_1 	238	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848			
34	syn_1 	239	21.3	17.8	34	NA	8.44858475	NA	1.24735746	1.601			
35	syn_1 	240	23	18	34	NA	7.18331736	0.07581914	0.88218234	1.54			
36	syn_1 	241	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34			
37	syn_1 	242	28.3	20	34	NA	8.70254607	0.08373814	2.35319588	0.92			
38	syn_1 	243	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816			
39	syn_1 	244	27.5	20	NA	0.67201408	8.38006167	NA	1.26698903	0.707			
40	syn_1 	245	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749			
41	syn_1 	246	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556			
42	syn_1 	248	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279			
43	syn_1 	249	24.5	15.3	34	NA	9.81178629	NA	NA	2.988			
44	syn_1 	250	22.3	15.3	NA	0.22017042	7.85634114	0.2110399	2.07571329	3.232			
45	syn_1 	251	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544			
46	syn_1 	252	22	16	34	NA	3.62048097	NA	NA	3.225			
47	syn_1 	253	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311			
48	syn_1 	256	18.3	16	34	NA	2.1538272	NA	1.26792339	0.717			
49	syn_1 	257	21.3	16.2	34	0.20511208	5.66787229	NA	8.75177184	0.43			
50	syn_1 	258	21.3	16.2	34	0.20511208	5.66787229	NA	8.75177184	0.43			
51	syn_1 	259	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021			
52	syn_1 	260	15.8	15	NA	0.645455514	8.220016333	0.188656596	3.358025986	1.842			
53	syn_1 	261	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776			
54	syn_1 	262	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504			
55	syn_1 	263	17	16.5	34	NA	2.47836526	NA	NA	2.902			
56	syn_1 	264	16.8	16.3	35	NA	4.55118337	NA	0.80323694	2.907			
57	syn_1 	265	24.5	16.1	34	0.12065417	5.68874843	NA	0.9802817	2.61			
58	syn_1 	266	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512			
59	syn_1 	267	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636			
60	syn_1 	268	24.5	15.4	34	NA	388.553.437	0.1362162	1.380.458.067	2.506			
61	syn_1 	269	19.5	15.6	34	NA	368.516.943	NA	0.39649923	1.56			
62	syn_1 	270	16	16.1	34	NA	192.760.767	NA	0.64420558	1.417			
63	syn_1 	271	23.5	16.1	34	NA	308.472.192	0.06192189	0.2512548	1.629			
64	syn_1 	272	23.4	15.8	NA	0.64088392	314.520.666	0.08225597	0.20502392	0.859			
65	syn_1 	273	20.5	16.6	34	NA	491.676.702	NA	398.961.658	0.7			
66	syn_1 	274	24	13.6	34	NA	929.448.892	0.35865647	479.394.157	0.767			
67	syn_1 	275	16.5	15	37	0.45541467	747.316.924	NA	340.940.811	0.687			
68	syn_1 	276	12.8	14.8	35	NA	560.788.915	0.22233358	194.980.151	1.902			
69	syn_1 	277	13.3	14.2	34	NA	335.568.200	NA	NA	2.096			
70	syn_1 	278											
71	syn_1 	279	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596			
72	syn_1 	280	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427			
73	syn_1 	281	16	14.9	35	0.56071625	460.514.160	NA	0.77871442	2.764			
74	syn_1 	282	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998			
75	syn_1 	283	15.7	15	34	0.26956796	568.920.077	NA	0.62883643	2.221			
76	syn_1 	284											
77	syn_1 	285	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855			
78	syn_1 	286	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605			
79	syn_1 	287	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872			
80	syn_1 	288											
81	syn_1 	289	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505			
82	syn_1 	290	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673			
83	syn_1 	291	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665			
84	syn_1 	292	9	11.5	34	NA	928.442.401	0.24797953	193.721.117	2.778			
85	syn_1 	293	13.7	12.2	34	0.31245337	669.121.430	NA	149.546.708	2.946			
86	syn_1 	294	13.5	12	34	0.44648775	786.365.667	NA	157.456.749	3.232			
87	syn_1 	295	9.5	11.3	34	0.34300256	697.263.111	NA	140.486.230	3.022			
88	syn_1 	296	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655			
89	syn_2	205	27	17.5	34	NA	NA	NA	NA	2.856			
90	syn_2	206	NA	NA	NA	NA	NA	NA	NA	2.605			
91	syn_2	207	21	20	33	NA	NA	NA	NA	1.949			
92	syn_2	208	26	17	34	NA	NA	NA	NA	1.594			
93	syn_2	209	29	20	34	NA	NA	NA	NA	1.23			
94	syn_2	210	23	15	34	NA	NA	NA	NA	1.118			
95	syn_2	211	24	17	34	NA	NA	NA	NA	0.83			
96	syn_2	213	NA	19	33	NA	NA	NA	NA	0.46			
97	syn_2	214	23.5	18.3	NA	0.857251761	2.337330274	0.069182486	0.625133203	0.52			
98	syn_2	215	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609			
99	syn_2	216	28.3	11	34	0.18212627	6.61638308	NA	1.21387498	1.016			
100	syn_2	217	25.5	NA	NA	0.86768967	7.05001699	0.33053471	2.40520795	1.601			
